                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.9318,                 1.6962,                 1.2903,                0.52737,                0.68182,                0.57336,                0.38353,                 1.2629,                 1.6157,                 1.6553,              0.0006536,              0.0006536,              0.0006536
                     70,                0.71809,                 0.8319,                 1.0217,                0.59519,                0.70455,                0.66621,                0.41653,                 1.2729,                 1.5798,                 1.6589,              0.0006338,              0.0006338,              0.0006338
                     71,                0.72462,                0.78792,                 1.0189,                0.60213,                0.72236,                0.66019,                0.41139,                 1.3025,                 1.5996,                 1.6908,               0.000614,               0.000614,               0.000614
                     72,                0.74803,                0.79052,                 1.0565,                0.57786,                0.72727,                0.64104,                0.40622,                 1.3316,                 1.6158,                 1.6949,              0.0005942,              0.0005942,              0.0005942
                     73,                0.65657,                0.72428,                 1.0159,                0.57786,                0.72727,                0.64104,                0.40622,                 1.3316,                 1.6158,                 1.6949,              0.0005744,              0.0005744,              0.0005744
                     74,                0.63544,                0.83056,                 1.0986,                0.60805,                   0.75,                0.62181,                0.38555,                 1.3947,                 1.6824,                 1.7559,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7144,                0.87301,                 1.0851,                0.62342,                0.71497,                0.61775,                 0.3722,                 1.4422,                 1.6978,                  1.777,              0.0005348,              0.0005348,              0.0005348
                     76,                0.61999,                0.66164,                 1.0235,                0.58007,                0.65909,                 0.5961,                0.34525,                 1.4441,                 1.7351,                 1.7318,               0.000515,               0.000515,               0.000515
                     77,                0.62731,                0.71568,                 1.0491,                0.58007,                0.65909,                 0.5961,                0.34525,                 1.4441,                 1.7351,                 1.7318,              0.0004952,              0.0004952,              0.0004952
                     78,                0.70392,                0.75297,                 1.0608,                0.56003,                0.68182,                0.58676,                0.33787,                 1.4237,                  1.806,                 1.7121,              0.0004754,              0.0004754,              0.0004754
                     79,                0.76737,                0.85318,                  1.244,                0.52227,                0.69579,                0.55205,                0.31251,                 1.4245,                 1.8439,                 1.6972,              0.0004556,              0.0004556,              0.0004556
                     80,                0.69463,                0.86396,                 1.0524,                0.50848,                0.68182,                0.51773,                0.28759,                 1.4333,                 1.8185,                 1.7065,              0.0004358,              0.0004358,              0.0004358
                     81,                0.66067,                0.73582,                 1.0456,                0.50848,                0.68182,                0.51773,                0.28759,                 1.4333,                 1.8185,                 1.7065,               0.000416,               0.000416,               0.000416
                     82,                0.59251,                0.61789,                 1.0349,                0.48591,                0.72727,                0.50425,                0.27956,                 1.4381,                 1.7933,                  1.714,              0.0003962,              0.0003962,              0.0003962
                     83,                0.64827,                0.69281,                 1.0517,                   0.49,                0.72727,                0.50729,                0.29384,                 1.4151,                 1.7631,                 1.6799,              0.0003764,              0.0003764,              0.0003764
                     84,                0.80278,                0.77981,                 1.1734,                0.53354,                0.65909,                0.51877,                0.31988,                 1.3863,                 1.7048,                 1.6453,              0.0003566,              0.0003566,              0.0003566
                     85,                0.63447,                0.81725,                 1.0323,                0.53354,                0.65909,                0.51877,                0.31988,                 1.3863,                 1.7048,                 1.6453,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57728,                0.67532,                0.97685,                0.58206,                0.68182,                0.55096,                0.31802,                 1.3748,                 1.6525,                 1.6242,               0.000317,               0.000317,               0.000317
